Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM
Keegan Murray,PF,2022,21.84,SO,Iowa,80,225,83,104,518,0.621,0.594,9.8,19.933,14.867,8.467,2.4,6.667,6.967,25.967,554,10.3,2.933,13.233
Chet Holmgren,PF,2022,20.15,FR,Gonzaga,84,195,90,115,1,0.691,0.68,8,28.7,19.6,11.4,1.6,12.6,15.7,21.6,424,7.5,7.5,15
Tari Eason,PF,2022,21.12,SO,Louisiana State,78.75,217.4,86,107.5,113,0.615,0.559,10.5,19.8,15.2,10.1,4.5,6.2,13.8,31.8,506,9,5.7,14.7
Walker Kessler,C,2022,20.91,SO,Auburn,84.25,256,88.25,113,20,0.627,0.627,10.9,22.2,16.6,6.9,2.4,19.1,10.7,19,360,6.2,8,14.1
Mark Williams,C,2022,20.52,SO,Duke,84,242.4,90.5,117,29,0.7,0.702,13.633,20.8,17.4,7.9,1.533,10.8,11.7,19.333,323.333,7.2,4.433,11.567
Trevion Williams,C,2022,21.77,SR,Purdue,79.25,264.6,86.75,108.5,124,0.547,0.541,16.047,26.933,21.733,27.96,2.313,3.38,15.033,32.607,426.867,6.953,3.267,10.28
E.J. Liddell,PF,2022,21.51,JR,Ohio State,77.5,243,83.75,103.5,47,0.581,0.528,8.343,18.786,13.9,14.257,1.157,6.986,12.143,28.6,507.286,6.9,3.043,9.914
Drew Timme,C,2022,21.79,JR,Gonzaga,80.25,231.6,86,107.5,51,0.634,0.619,9.143,17.357,13.657,15.686,0.857,2.843,13.257,27.771,535.429,7,2.4,9.343
David Roddy,PF,2022,21.24,JR,Colorado State,76.5,260.8,83.5,105,246,0.616,0.586,7.857,21.686,15.143,18.471,1.857,3.643,14.214,27.414,510.286,6.486,1.929,8.471
Jabari Smith,PF,2022,19.11,FR,Auburn,82,220,85,110,6,0.57,0.521,3.5,23.5,13.6,14,2.1,3.8,11.1,27.6,519,7.4,3.8,11.1
Orlando Robinson,C,2022,21.95,JR,Fresno State,81.75,244.4,88,111,268,0.551,0.505,9.843,22.043,15.957,19.529,1.843,4.271,14.557,30.586,553,5.5,1.857,7.414
Christian Koloko,C,2022,22.01,JR,Arizona,82.75,221,89.25,113,95,0.602,0.58,13.114,17.929,15.729,7.143,1.686,10.171,12.557,18.5,301.143,3.586,4.743,8.3
Kofi Cockburn,C,2022,22.81,JR,Illinois,83,293,88.25,110.5,44,0.614,0.602,13.814,24.586,19.4,4.857,1.286,3.843,12.057,29.957,487,7.014,2.029,8.986
Keon Ellis,SG,2022,22.46,SR,Alabama,75.5,167.4,80.5,102,272,0.616,0.57,6.033,15.667,10.933,10.233,3.367,2.1,15.667,16.2,316,4.5,4.533,9.033
Matthew Mayer,SF,2022,22.75,SR,Baylor,80,216.4,82.5,105,78,0.521,0.502,6.327,18.8,12.427,10.06,3.4,2.92,11.187,23.913,245,3.787,4.133,7.947
Collin Gillespie,PG,2022,23,SR,Villanova,73.5,195.8,76,98,272,0.591,0.546,1.532,10.79,6.213,22.281,1.916,0.055,11.745,22.39,456.065,5.632,2.31,7.942
Bryson Williams,PF,2022,24.16,SR,Texas Tech,80,235,86.25,107,272,0.61,0.588,7,12.6,9.9,9.5,1.1,2,9.9,25.9,456,6.7,2.5,9.2
Ochai Agbaji,SG,2022,22.17,SR,Kansas,76.5,216.8,82.25,104,190,0.572,0.551,3.129,11.314,7.443,9.586,1.714,1.529,11.686,22.929,513.714,5.586,2.429,7.929
Christian Braun,SG,2022,21.18,JR,Kansas,77.5,209.2,78.5,99.5,129,0.567,0.536,4.614,15.129,10.086,12.071,1.886,2.057,12.971,18.414,418.571,4.629,3.4,8.114
Kennedy Chandler,PG,2022,19.77,FR,Tennessee,71.5,172.2,77.25,97,9,0.539,0.527,2.5,9.7,6,32.3,4.1,0.9,16.2,25,479,4.2,4.8,9
Johnny Davis,PG,2022,20.32,SO,Wisconsin,76.25,196.4,80.5,103.5,145,0.517,0.468,4.6,20.833,12.533,12.967,2.233,2.4,11.733,27.633,458,4.1,3.4,7.6
Jabari Walker,PF,2022,19.9,SO,Colorado,78.75,213.8,82.75,105,332,0.594,0.546,9.8,28.067,19.233,9.233,1.667,2.967,15.267,27.067,364,4.3,2.233,6.6
Darius Days,SF,2022,22.67,SR,Louisiana State,77.75,245,84.5,107.5,61,0.579,0.561,9.433,20.633,15.133,5.613,2.513,1.38,9.573,20.727,359.333,5.453,2.02,7.42
AJ Griffin,SF,2022,18.83,FR,Duke,78,220,84,105.5,14,0.63,0.613,3.9,13.7,9.1,7,1.3,2.3,7.2,18.8,349,6.6,1.5,8.1
Bennedict Mathurin,SG,2022,20.01,SO,Arizona,76.5,204.6,81,104,518,0.592,0.548,5.333,13.833,9.9,12.267,1.6,0.633,10.867,23.267,484,5.967,1.8,7.767
Jeremy Sochan,PF,2022,19.09,FR,Baylor,81,230,84,108.5,156,0.546,0.531,8.9,20.6,14.7,12.3,2.9,3.2,15.6,19.6,282,3.6,4.4,8
Dalen Terry,SG,2022,19.95,SO,Arizona,78,195.2,84.75,106,45,0.562,0.538,4.767,13.033,9.167,18.9,2.367,1.433,18.2,13.933,271,2.233,4.1,6.333
Wendell Moore,SG,2022,20.76,JR,Duke,76.25,217.2,84.5,101,24,0.563,0.521,5.029,13.157,9.229,19,2.371,0.643,17.071,19.8,417,3.314,2.229,5.543
Jaylin Williams,C,2022,19.98,SO,Arkansas,80.75,236.6,85,108.5,86,0.55,0.502,6,27.433,16.667,12.8,2.033,4.2,17.567,16.1,313.667,1.867,4.967,6.833
Jalen Wilson,SF,2022,21.63,SO,Kansas,77.75,225.2,80,102,45,0.535,0.501,7.267,21.767,14.8,11.733,1.4,1.333,12.367,20.767,387.667,4.4,2.933,7.267
Julian Champagnie,SF,2022,20.98,JR,St. John's (NY),78.25,212.4,82,107,533,0.527,0.489,4.814,17.9,11.171,9.329,2.829,3.443,8.557,26.486,469.571,4.843,1.529,6.429
Paolo Banchero,PF,2022,19.61,FR,Duke,82,250,84.5,108.5,2,0.557,0.52,6.4,19.1,13.2,17.5,1.9,2.7,13.3,27.5,665,5.4,2.3,7.7
Kendall Brown,SF,2022,19.12,FR,Baylor,78.25,201.2,83,103,12,0.63,0.615,7.3,13.7,10.5,12.3,2.2,1.5,18.2,17.1,321,3.7,3.6,7.4
Johnny Juzang,SG,2022,21.27,JR,UCLA,77.25,208.6,83,102.5,166,0.529,0.497,2.9,14.2,8.433,11.2,1.433,0.733,9.533,26.967,408.667,4.333,1.433,5.767
Andrew Nembhard,PG,2022,22.43,SR,Gonzaga,75,195.6,77.75,99,22,0.568,0.54,1.333,8.467,5.3,24.267,2.433,0.367,14.833,17.3,401.667,3.833,3.2,7
Jaden Ivey,PG,2022,20.36,SO,Purdue,76,195,81,101.5,91,0.552,0.507,3.133,13.933,8.867,18.267,1.733,2.6,13.433,28.067,471.667,5.267,1.833,7.033
Jalen Duren,C,2022,18.6,FR,Memphis,81,242.4,89,115,5,0.608,0.597,14,21.5,18,10.5,1.8,9.9,18.6,22.8,330,3.7,3.3,7.1
Julian Strawther,SF,2022,20.18,SO,Gonzaga,77.75,207.6,81.5,104.5,62,0.616,0.597,6.2,13.6,10.333,4.067,1.133,0.567,9.8,19.333,254,3.7,1.233,4.867
Tyrese Martin,SG,2022,23.3,SR,Connecticut,77.25,215,80,103.5,156,0.53,0.505,9.133,17.667,13.333,10.267,1.667,1.733,12.433,21.2,327.667,4.567,1.9,6.467
Alondes Williams,SG,2022,23.01,SR,Wake Forest,75.75,209,79,102,272,0.576,0.549,5.1,15.7,10.8,31.2,2,1.2,18.4,28.9,688,4.7,1.8,6.6
Iverson Molinar,PG,2022,22.55,JR,Mississippi State,74.25,183.2,80,101,212,0.563,0.506,1.671,9.214,5.5,20.271,1.8,0.986,13.529,25.886,478.143,4.243,0.914,5.157
Jared Rhoden,SG,2022,22.82,SR,Seton Hall,78,210,82.5,104,148,0.506,0.458,4.973,17.707,11.413,8.647,2.107,1.693,10.353,23.693,383.667,2.88,2.08,5.013
Jalen Williams,SG,2022,21.19,JR,Santa Clara,76.5,209.2,86.25,105.5,383,0.567,0.523,2.143,11.486,7.086,19.129,2.1,1.729,12.629,22.443,431.429,2.786,1.514,4.3
Malaki Branham,SG,2022,19.12,FR,Ohio State,76,194.8,82,102.5,35,0.596,0.556,3.5,10.5,7.3,14.5,1.5,1,12.8,24.1,411,4.8,0.9,5.7
Dereon Seabron,SG,2022,22.08,SO,NC State,76.75,182.4,80.75,103.5,128,0.542,0.507,7.9,18,12.667,15.833,2.3,0.9,15.467,23.2,423.333,3.833,0.467,4.3
Ryan Rollins,SG,2022,19.97,SO,Toledo,74,179.2,81.75,100.5,324,0.55,0.507,2.867,15.6,9.567,18.833,2.7,0.767,13,27.567,541.667,2.333,1.333,3.667
JD Davison,PG,2022,19.72,FR,Alabama,72.5,191.8,78.5,99.5,13,0.558,0.521,4.5,15.2,9.8,29.4,2.1,1.4,27.3,18.8,333,3.3,1.9,5.2
Justin Lewis,PF,2022,20.2,FR,Marquette,78.25,235.4,86.5,105.5,98,0.514,0.484,6.7,20.2,13.833,9.933,1.633,2.467,12.133,26.267,381.333,2.733,0.967,3.7
Terquavion Smith,SG,2022,19.48,FR,NC State,74.25,165.2,78.5,98,97,0.522,0.503,3.1,12.3,7.4,14.7,2.4,1.6,9.8,27.5,478,5.1,-0.1,5.1
Trevor Keels,SG,2022,18.83,FR,Duke,75.25,223.8,79.25,101,23,0.52,0.496,3.3,9,6.4,14.9,2.4,0.2,10.2,20.7,412,2.7,1.5,4.2
Harrison Ingram,SF,2022,19.57,FR,Stanford,77.25,232.8,84.25,103.5,18,0.479,0.446,6.9,19.1,12.9,20.3,1.8,0.9,17,21.8,362,2.2,1.3,3.4
Moussa Diabate,C,2022,20.42,FR,Michigan,81.25,216.6,86.5,109.5,17,0.565,0.549,11.9,17,14.5,6.2,0.8,3.7,15.5,19.7,290,1.6,1.1,2.8
Aminu Mohammed,SG,2022,20.52,FR,Georgetown,75.5,212.8,83,104,24,0.466,0.403,10.1,17.6,13.6,11.7,2.9,2,12.9,25,439,2,0.2,2.2
Max Christie,SG,2022,19.36,FR,Michigan State,76.25,189.2,80.75,102.5,20,0.494,0.449,3.4,9.2,6.4,8.6,1,1.7,13.7,18.1,309,0.8,1.1,1.9
Bryce McGowens,SG,2022,19.62,FR,Nebraska,77.25,181.2,80.75,103.5,28,0.533,0.453,2.4,14.6,8.7,8.6,1.2,1,11.7,27.2,486,2.3,-1,1.3
Blake Wesley,SG,2022,19.27,FR,Notre Dame,75,187.2,81.25,103,100,0.495,0.465,3,11.6,7.5,17.4,2.6,0.2,13.1,31.3,491,0.5,0.8,1.3
Peyton Watson,SF,2022,19.78,FR,UCLA,78.75,203.4,84.5,107.5,11,0.394,0.352,8.1,18.7,13.3,11,2.8,5.5,18.4,20.8,120,-2.7,3.8,1.1
